1309,MONTECRISTI,99937,705,142,13
1310,PAJÁN,41879,11,38,13
1311,PICHINCHA,30380,1075,28,13
1312,ROCAFUERTE,42688,279,153,13
1314,SANTA ANA,51462,1019,50,13
1315,SUCRE,62841,693,91,13
1316,TOSAGUA,42853,381,112,13
1317,24 DE MAYO,31473,546,58,13
1318,PEDERNALES,70408,1969,36,13
1319,OLMEDO,10090,257,39,13
1320,PUERTO LÓPEZ,25630,429,60,13
1321,JAMA,16588,568,29,13
1322,JARAMIJÓ,29759,97,308,13
1323,SAN VICENTE,24997,737,34,13
1401,MORONA,54935,4368,13,14
1402,GUALAQUIZA,21892,216,10,14
1403,PALORA,11882,1451,8,14
1404,SANTIAGO,9755,1368,7,14
1405,SUCÚA,23504,1196,20,14
1406,HUAMBOYA,10830,656,17,14
1407,SAN JUAN BOSCO,4372,109,4,14
1408,TAISHA,26700,6135,4,14
1409,PABLO SEXTO,2267,1389,2,14
1410,TIWINTZA,9285,1181,8,14
1501,TENA,80816,3908,21,15
1502,ARCHIDONA,30488,3057,10,15
1503,EL CHACO,9252,3485,3,15
1504,QUIJOS,6472,1591,4,15
1505,CARLOS JULIO AROSEMENA TOLA,4647,501,9,15
1601,PASTAZA,82754,19944,4,16
1602,MERA,15087,531,28,16
1603,SANTA CLARA,4521,313,14,16
1604,ARAJUNO,9553,8859,1,16
1701,DISTRITO METROPOLITANO DE QUITO,2679722,4201,638,17
1702,CAYAMBE,105267,1201,88,17
1703,MEJÍA,101894,1411,72,17
1704,PEDRO MONCAYO,40483,335,121,17
1705,RUMIÑAHUI,107904,135,797,17
1706,SAN MIGUEL DE LOS BANCOS,13661,855,16,17
1707,PEDRO VICENTE MALDONADO,15475,619,25,17
1708,PUERTO QUITO,25067,696,36,17
1801,AMBATO,370664,1022,363,18
1802,BAÑOS DE AGUA SANTA,21908,1068,21,18
1803,CEVALLOS,10433,19,556,18
1804,MOCHA,7260,85,85,18
1805,PATATE,13879,293,47,18
1806,QUERO,19084,169,113,18
1807,SAN PEDRO DE PELILEO,63897,200,320,18
1808,SANTIAGO DE PÍLLARO,42497,470,90,18
1809,TISALEO,13910,60,233,18
1901,ZAMORA,30186,1901,16,19
1902,CHINCHIPE,10337,1102,9,19
1903,NANGARITZA,6429,2021,3,19
1904,YACUAMBI,6391,1253,5,19
1905,YANTZAZA,23370,1014,23,19
1906,EL PANGUI,12768,632,20,19
1907,CENTINELA DEL CÓNDOR,7882,260,30,19
1908,PALANDA,8873,2042,4,19
1909,PAQUISHA,4737,339,14,19
2001,SAN CRISTÓBAL,8300,850,10,20
2002,ISABELA,3050,5528,1,20
