71352,ARCAPAMBA,07D03,970,14,68
71355,HUERTAS,07D03,2310,47,49
71356,MALVAS,07D03,963,10,94
71359,SALVIAS,07D03,768,97,8
71450,LA VICTORIA,07D05,3561,19,191
80150,ESMERALDAS,08D01,170529,70,2422
80154,CHINCA,08D01,5109,224,23
80159,MAJUA,08D01,3368,125,27
80163,SAN MATEO,08D01,7975,180,44
80165,TABIAZO,08D01,2789,139,20
80166,TACHINA,08D01,6439,73,88
80168,VUELTA LARGA,08D01,8930,78,115
80258,SAN FRANCISCO DE ONZOLE,08D02,1838,181,10
80259,SANTO DOMINGO DE ONZOLE,08D02,3577,681,5
80350,MUISNE,08D03,8788,142,62
80352,DAULE,08D03,2842,110,26
80353,GALERA,08D03,1659,68,25
80356,SAN FRANCISCO,08D03,5023,191,26
80451,CUBE,08D04,7872,656,12
80453,MALIMPIA,08D04,19870,1005,20
80454,VICHE,08D04,5975,97,62
80550,SAN LORENZO,08D05,1770,92,19
80554,CARONDELET,08D05,1117,69,16
80559,SANTA RITA,08D05,1638,81,20
80560,TAMBILLO,08D05,1369,227,6
80650,ATACAMES,08D03,21868,104,210
80654,TONSUPA,08D03,13266,83,160
80750,RIOVERDE,08D06,7124,74,97
80751,CHONTADURO,08D06,4156,216,19
80753,LAGARTO,08D06,5670,212,27
80755,ROCAFUERTE,08D06,6173,155,40
90150,GUAYAQUIL,09D01,2665392,1768,1507
90153,MORRO,09D10,6502,324,20
90156,POSORJA,09D10,33709,74,458
90158,TENGUEL,09D05,12042,141,85
90350,BALAO,09D12,25655,439,58
90450,BALZAR,09D13,57829,1176,49
90550,COLIMES,09D13,20339,544,37
90551,SAN JACINTO,09D13,5912,213,28
90650,DAULE,09D19,2842,110,26
90653,LAUREL,09D19,10558,37,284
90654,LIMONAL,09D19,9414,49,194
90852,EL ROSARIO,09D15,10081,137,73
90950,EL TRIUNFO,09D16,60541,560,108
91050,MILAGRO,09D17,435,3,154
91051,CHOBO,09D17,3761,39,96
91150,NARANJAL,09D12,52002,601,86
91152,SAN CARLOS,09D12,9404,104,91
91153,SANTA ROSA DE FLANDES,09D12,6196,132,47
91154,TAURA,09D12,9467,757,12
91250,NARANJITO,09D18,44169,231,191
91350,PALESTINA,09D13,18019,186,97
