Cantón;Parroquia;Población;Superficie de la parroquia (km2);Densidad Poblacional
CAÑAR;VENTURA;1.357;68;20
CAÑAR;DUCUR;3.688;100;37
LA TRONCAL;LA TRONCAL;46.505;157;297
LA TRONCAL;MANUEL J. CALLE;4.732;61;78
LA TRONCAL;PANCHO NEGRO;10.866;150;72
EL TAMBO;EL TAMBO;9.285;63;147
DÉLEG;DÉLEG;4.273;57;75
DÉLEG;SOLANO;1.773;17;105
SUSCAL;SUSCAL;4.627;53;87
TULCÁN;TULCÁN;64.218;136;473
TULCÁN;EL CARMELO;2.162;66;33
TULCÁN;JULIO ANDRADE;10.594;93;114
TULCÁN;MALDONADO;2.069;201;10
TULCÁN;PIOTER;670;18;38
TULCÁN;TOBAR DONOSO;1.393;624;2
TULCÁN;TUFIÑO;2.692;179;15
TULCÁN;URBINA;1.770;40;44
TULCÁN;EL CHICAL;4.403;443;10
TULCÁN;SANTA MARTHA DE CUBA;2.404;17;145
BOLÍVAR;BOLÍVAR;5.873;100;59
BOLÍVAR;GARCÍA MORENO;1.364;58;23
BOLÍVAR;LOS ANDES;2.536;58;43
BOLÍVAR;MONTE OLIVO;1.699;70;24
BOLÍVAR;SAN VICENTE DE PUSIR;2.254;42;53
BOLÍVAR;SAN RAFAEL;1.951;31;63
ESPEJO;EL ÁNGEL;7.075;114;62
ESPEJO;EL GOALTAL;746;256;3
ESPEJO;LA LIBERTAD;3.718;151;25
ESPEJO;SAN ISIDRO;2.983;46;64
MIRA;MIRA;6.706;101;67
MIRA;CONCEPCIÓN;2.680;149;18
MIRA;JIJÓN Y CAAMAÑO;1.961;281;7
MIRA;JUAN MONTALVO;1.380;53;26
MONTÚFAR;SAN GABRIEL;20.576;146;141
MONTÚFAR;CRISTÓBAL COLÓN;2.901;33;89
MONTÚFAR;CHITÁN DE NAVARRETE;641;39;16
MONTÚFAR;FERNÁNDEZ SALVADOR;1.144;32;36
MONTÚFAR;LA PAZ;3.399;112;30
MONTÚFAR;PIARTAL;929;19;50
SAN PEDRO DE HUACA;HUACA;6.455;43;149
SAN PEDRO DE HUACA;MARISCAL SUCRE;1.482;33;45
LATACUNGA;LATACUNGA;125.651;266;472
LATACUNGA;ALÁQUEZ;7.958;144;55
LATACUNGA;BELISARIO QUEVEDO;7.301;38;192
LATACUNGA;GUAYTACAMA;15.158;27;569
LATACUNGA;JOSEGUANGO BAJO;2.469;18;134
LATACUNGA;MULALÓ;9.101;509;18
LATACUNGA;ONCE DE NOVIEMBRE;3.233;10;311
LATACUNGA;POALÓ;4.960;76;65
LATACUNGA;SAN JUAN DE PASTOCALLE;14.884;140;107
LATACUNGA;TANICUCHI;15.509;53;291
LATACUNGA;TOACASO;11.037;213;52
LA MANÁ;LA MANÁ;47.967;231;208
LA MANÁ;GUASAGANDA;3.866;248;16
LA MANÁ;PUCAYACU;1.960;181;11
PANGUA;EL CORAZÓN;5.529;162;34
PANGUA;MORASPUNGO;13.884;407;34
PANGUA;PINLLOPATA;692;32;21
PANGUA;RAMÓN CAMPAÑA;1.762;118;15
PUJILÍ;PUJILÍ;42.614;295;144
PUJILÍ;ANGAMARCA;3.802;282;13
PUJILÍ;GUANGAJE;4.113;126;33
PUJILÍ;LA VICTORIA;3.561;19;191
PUJILÍ;PILALÓ;1.916;206;9
PUJILÍ;TINGO;4.026;193;21
PUJILÍ;ZUMBAHUA;6.948;209;33
SALCEDO;SAN MIGUEL;39.101;194;202
SALCEDO;ANTONIO JOSÉ HOLGUÍN;3.431;7;472
SALCEDO;CUSUBAMBA;5.949;162;37
SALCEDO;MULALILLO;7.254;41;176
SALCEDO;MULLIQUINDIL;7.632;48;159
SALCEDO;PANSALEO;4.126;16;251
SAQUISILÍ;SAQUISILÍ;16.163;41;391
SAQUISILÍ;CANCHAGUA;3.510;25;138
SAQUISILÍ;CHANTILÍN;2.129;5;452
SAQUISILÍ;COCHAPAMBA;2.554;85;30
SIGCHOS;SIGCHOS;7.560;776;10
SIGCHOS;CHUGCHILLÁN;6.075;249;24
SIGCHOS;ISINLIVI;1.945;85;23
SIGCHOS;LAS PAMPAS;1.850;132;14
SIGCHOS;PALO QUEMADO;1.030;116;9
RIOBAMBA;RIOBAMBA;188.891;62;3.049
RIOBAMBA;CACHA;2.362;29;83
RIOBAMBA;CALPI;6.223;52;120
RIOBAMBA;CUBIJÍES;3.264;13;252
RIOBAMBA;FLORES;2.733;45;61
RIOBAMBA;LICÁN;11.726;21;558
RIOBAMBA;LICTO;6.778;60;113
RIOBAMBA;PUNGALÁ;3.925;279;14
RIOBAMBA;PUNÍN;4.682;52;91
RIOBAMBA;QUIMIAG;4.479;136;33
RIOBAMBA;SAN JUAN;6.309;221;29
RIOBAMBA;SAN LUIS;19.510;30;653
ALAUSÍ;ALAUSÍ;10.303;53;194
ALAUSÍ;ACHUPALLAS;8.117;581;14
ALAUSÍ;GUASUNTOS;1.820;47;39
ALAUSÍ;HUIGRA;1.748;130;13
ALAUSÍ;MULTITUD;1.867;103;18
ALAUSÍ;PISTISHI;257;11;23
ALAUSÍ;PUMALLACTA;588;21;28
ALAUSÍ;SEVILLA;630;21;30
ALAUSÍ;SIBAMBE;3.412;142;24
ALAUSÍ;TIXÁN;8.533;181;47
COLTA;VILLA LA UNIÓN;14.392;220;65
COLTA;CAÑI;711;110;6
COLTA;COLUMBE;9.132;167;55
COLTA;JUAN DE VELASCO;3.045;266;11
COLTA;SANTIAGO DE QUITO;3.188;56;57
CHAMBO;CHAMBO;13.431;166;81
CHUNCHI;CHUNCHI;6.828;127;54
CHUNCHI;CAPZOL;684;25;27
CHUNCHI;COMPUD;724;29;25
CHUNCHI;GONZOL;1.083;25;43
CHUNCHI;LLAGOS;1.316;67;20
GUAMOTE;GUAMOTE;19.382;386;50
GUAMOTE;CEBADAS;6.414;567;11
GUAMOTE;PALMIRA;9.973;242;41
GUANO;GUANO;22.764;94;243
GUANO;GUANANDO;224;15;15
GUANO;ILAPO;1.156;33;35
GUANO;LA PROVIDENCIA;659;10;65
GUANO;SAN ANDRÉS;13.154;164;80
GUANO;SAN GERARDO;3.281;7;461
GUANO;SAN ISIDRO DE PATULÚ;4.472;77;58
GUANO;SAN JOSÉ DEL CHAZO;872;15;60
GUANO;SANTA FÉ DE GALÁN;1.471;29;50
GUANO;VALPARAISO;274;21;13
PALLATANGA;PALLATANGA;11.796;380;31
PENIPE;PENIPE;2.400;32;76
PENIPE;EL ALTAR;1.294;74;17
PENIPE;MATUS;786;74;11
PENIPE;PUELA;533;73;7
PENIPE;SAN ANTONIO DE BAYUSHIG;1.097;4;283
PENIPE;LA CANDELARIA;389;89;4
PENIPE;BILBAO;249;25;10
CUMANDÁ;CUMANDÁ;16.602;159;104
MACHALA;MACHALA;301.771;246;1.228
MACHALA;EL RETIRO;4.538;127;36
ARENILLAS;ARENILLAS;23.919;260;92
ARENILLAS;CHACRAS;1.926;97;20
ARENILLAS;PALMALES;3.385;211;16
ARENILLAS;CARCABÓN;883;78;11
ARENILLAS;LA CUCA;2.253;141;16
ATAHUALPA;PACCHA;2.509;49;51
ATAHUALPA;AYAPAMBA;1.413;100;14
ATAHUALPA;CORDONCILLO;985;31;32
ATAHUALPA;MILAGRO;435;3;154
ATAHUALPA;SAN JOSÉ;468;2;192
ATAHUALPA;SAN JUAN DE CERRO AZUL;302;96;3
BALSAS;BALSAS;6.289;56;112
BALSAS;BELLAMARÍA;1.586;13;124
CHILLA;CHILLA;2.251;332;7
EL GUABO;EL GUABO;35.467;236;150
EL GUABO;BARBONES;7.364;69;107
EL GUABO;LA IBERIA;4.433;14;320
EL GUABO;TENDALES;5.388;106;51
EL GUABO;RÍO BONITO;6.884;155;44
HUAQUILLAS;HUAQUILLAS;56.303;99;571
MARCABELÍ;MARCABELÍ;6.614;130;51
