Provincia;Cantón;Población;Superficie del cantón (km2);Densidad Poblacional
LOS RÍOS;MOCACHE;42.026;566;74
LOS RÍOS;QUINSALOMA;19.470;289;67
MANABÍ;PORTOVIEJO;322.925;957;338
MANABÍ;BOLÍVAR;41.827;524;80
MANABÍ;CHONE;128.166;3.062;42
MANABÍ;EL CARMEN;120.936;1.741;69
MANABÍ;FLAVIO ALFARO;26.415;1.347;20
MANABÍ;JIPIJAPA;78.117;1.476;53
MANABÍ;JUNÍN;22.324;267;84
MANABÍ;MANTA;271.145;290;935
MANABÍ;MONTECRISTI;99.937;705;142
MANABÍ;PAJÁN;41.879;1.100;38
MANABÍ;PICHINCHA;30.380;1.075;28
MANABÍ;ROCAFUERTE;42.688;279;153
MANABÍ;SANTA ANA;51.462;1.019;50
MANABÍ;SUCRE;62.841;693;91
MANABÍ;TOSAGUA;42.853;381;112
MANABÍ;24 DE MAYO;31.473;546;58
MANABÍ;PEDERNALES;70.408;1.969;36
MANABÍ;OLMEDO;10.090;257;39
MANABÍ;PUERTO LÓPEZ;25.630;429;60
MANABÍ;JAMA;16.588;568;29
MANABÍ;JARAMIJÓ;29.759;97;308
MANABÍ;SAN VICENTE;24.997;737;34
MORONA SANTIAGO;MORONA;54.935;4.368;13
MORONA SANTIAGO;GUALAQUIZA;21.892;2.160;10
MORONA SANTIAGO;LIMÓN INDANZA;9.602;1.831;5
MORONA SANTIAGO;PALORA;11.882;1.451;8
MORONA SANTIAGO;SANTIAGO;9.755;1.368;7
MORONA SANTIAGO;SUCÚA;23.504;1.196;20
MORONA SANTIAGO;HUAMBOYA;10.830;656;17
MORONA SANTIAGO;SAN JUAN BOSCO;4.372;1.090;4
MORONA SANTIAGO;TAISHA;26.700;6.135;4
MORONA SANTIAGO;LOGROÑO;7.484;1.179;6
MORONA SANTIAGO;PABLO SEXTO;2.267;1.389;2
MORONA SANTIAGO;TIWINTZA;9.285;1.181;8
NAPO;TENA;80.816;3.908;21
NAPO;ARCHIDONA;30.488;3.057;10
NAPO;EL CHACO;9.252;3.485;3
NAPO;QUIJOS;6.472;1.591;4
NAPO;CARLOS JULIO AROSEMENA TOLA;4.647;501;9
PASTAZA;PASTAZA;82.754;19.944;4
PASTAZA;MERA;15.087;531;28
PASTAZA;SANTA CLARA;4.521;313;14
PASTAZA;ARAJUNO;9.553;8.859;1
PICHINCHA;DISTRITO METROPOLITANO DE QUITO;2.679.722;4.201;638
PICHINCHA;CAYAMBE;105.267;1.201;88
PICHINCHA;MEJÍA;101.894;1.411;72
PICHINCHA;PEDRO MONCAYO;40.483;335;121
PICHINCHA;RUMIÑAHUI;107.904;135;797
PICHINCHA;SAN MIGUEL DE LOS BANCOS;13.661;855;16
PICHINCHA;PEDRO VICENTE MALDONADO;15.475;619;25
PICHINCHA;PUERTO QUITO;25.067;696;36
TUNGURAHUA;AMBATO;370.664;1.022;363
TUNGURAHUA;BAÑOS DE AGUA SANTA;21.908;1.068;21
TUNGURAHUA;CEVALLOS;10.433;19;556
TUNGURAHUA;MOCHA;7.260;85;85
TUNGURAHUA;PATATE;13.879;293;47
TUNGURAHUA;QUERO;19.084;169;113
TUNGURAHUA;SAN PEDRO DE PELILEO;63.897;200;320
TUNGURAHUA;SANTIAGO DE PÍLLARO;42.497;470;90
TUNGURAHUA;TISALEO;13.910;60;233
ZAMORA CHINCHIPE;ZAMORA;30.186;1.901;16
ZAMORA CHINCHIPE;CHINCHIPE;10.337;1.102;9
ZAMORA CHINCHIPE;NANGARITZA;6.429;2.021;3
ZAMORA CHINCHIPE;YACUAMBI;6.391;1.253;5
ZAMORA CHINCHIPE;YANTZAZA;23.370;1.014;23
ZAMORA CHINCHIPE;EL PANGUI;12.768;632;20
ZAMORA CHINCHIPE;CENTINELA DEL CÓNDOR;7.882;260;30
ZAMORA CHINCHIPE;PALANDA;8.873;2.042;4
ZAMORA CHINCHIPE;PAQUISHA;4.737;339;14
GALÁPAGOS;SAN CRISTÓBAL;8.300;850;10
GALÁPAGOS;ISABELA;3.050;5.528;1
GALÁPAGOS;SANTA CRUZ;17.233;1.855;9
SUCUMBÍOS;LAGO AGRIO;105.044;3.151;33
SUCUMBÍOS;GONZALO PIZARRO;10.356;2.245;5
SUCUMBÍOS;PUTUMAYO;9.018;3.551;3
SUCUMBÍOS;SHUSHUFINDI;50.826;2.506;20
SUCUMBÍOS;SUCUMBÍOS;3.174;1.517;2
SUCUMBÍOS;CASCALES;11.744;1.262;9
SUCUMBÍOS;CUYABENO;8.852;3.865;2
ORELLANA;FRANCISCO DE ORELLANA;95.130;7.083;13
ORELLANA;AGUARICO;6.872;11.294;1
ORELLANA;LA JOYA DE LOS SACHAS;52.444;1.202;44
ORELLANA;LORETO;27.720;2.151;13
SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;441.583;3.455;128
SANTO DOMINGO DE LOS TSÁCHILAS;LA CONCORDIA;51.386;324;158
SANTA ELENA;SANTA ELENA;186.687;3.595;52
SANTA ELENA;LA LIBERTAD;112.247;25;4.440
SANTA ELENA;SALINAS;86.801;68;1.281
