Provincia,Cantón,Población,Superficie del cantón (km2),Densidad Poblacional
MANABÍ,JIPIJAPA,78117,1476,53
MANABÍ,JUNÍN,22324,267,84
MANABÍ,MANTA,271145,290,935
MANABÍ,MONTECRISTI,99937,705,142
MANABÍ,PAJÁN,41879,11,38
MANABÍ,PICHINCHA,30380,1075,28
MANABÍ,ROCAFUERTE,42688,279,153
MANABÍ,SANTA ANA,51462,1019,50
MANABÍ,SUCRE,62841,693,91
MANABÍ,TOSAGUA,42853,381,112
MANABÍ,24 DE MAYO,31473,546,58
MANABÍ,PEDERNALES,70408,1969,36
MANABÍ,OLMEDO,10090,257,39
MANABÍ,PUERTO LÓPEZ,25630,429,60
MANABÍ,JAMA,16588,568,29
MANABÍ,JARAMIJÓ,29759,97,308
MANABÍ,SAN VICENTE,24997,737,34
MORONA SANTIAGO,MORONA,54935,4368,13
MORONA SANTIAGO,GUALAQUIZA,21892,216,10
MORONA SANTIAGO,LIMÓN INDANZA,9602,1831,5
MORONA SANTIAGO,PALORA,11882,1451,8
MORONA SANTIAGO,SANTIAGO,9755,1368,7
MORONA SANTIAGO,SUCÚA,23504,1196,20
MORONA SANTIAGO,HUAMBOYA,10830,656,17
MORONA SANTIAGO,SAN JUAN BOSCO,4372,109,4
MORONA SANTIAGO,TAISHA,26700,6135,4
MORONA SANTIAGO,LOGROÑO,7484,1179,6
MORONA SANTIAGO,PABLO SEXTO,2267,1389,2
MORONA SANTIAGO,TIWINTZA,9285,1181,8
NAPO,TENA,80816,3908,21
NAPO,ARCHIDONA,30488,3057,10
NAPO,EL CHACO,9252,3485,3
NAPO,QUIJOS,6472,1591,4
NAPO,CARLOS JULIO AROSEMENA TOLA,4647,501,9
PASTAZA,PASTAZA,82754,19944,4
PASTAZA,MERA,15087,531,28
PASTAZA,SANTA CLARA,4521,313,14
PASTAZA,ARAJUNO,9553,8859,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,2679722,4201,638
PICHINCHA,CAYAMBE,105267,1201,88
PICHINCHA,MEJÍA,101894,1411,72
PICHINCHA,PEDRO MONCAYO,40483,335,121
PICHINCHA,RUMIÑAHUI,107904,135,797
