nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
MANUEL CORNEJO ASTORGA,3341,494,7
TAMBILLO,9851,50,197
UYUMBICHO,6192,21,294
TABACUNDO,21157,71,297
LA ESPERANZA,4701,38,124
MALCHINGUÍ,6307,86,73
TOCACHI,2028,96,21
TUPIGACHI,6290,43,145
SANGOLQUÍ,102863,57,1795
COTOGCHOA,4384,36,122
RUMIPAMBA,657,42,16
SAN MIGUEL DE LOS BANCOS,10708,587,18
MINDO,2953,269,11
PEDRO VICENTE MALDONADO,15475,619,25
PUERTO QUITO,25067,696,36
AMBATO,188338,47,4006
AMBATILLO,5281,13,413
ATAHUALPA,14231,9,1503
AUGUSTO N MARTÍNEZ,8474,31,276
CONSTANTINO FERNÁNDEZ,3931,20,200
HUACHI GRANDE,15782,14,1115
IZAMBA,22218,29,754
JUAN BENIGNO VELA,7523,36,207
MONTALVO,6193,10,593
PASA,4238,48,88
PICAIHUA,10382,16,650
PILAGÜÍN,11450,426,27
QUISAPINCHA,10777,122,88
SAN BARTOLOMÉ DE PINLLO,10240,11,925
SAN FERNANDO,2035,106,19
SANTA ROSA,28210,40,710
TOTORAS,9674,8,1263
CUNCHIBAMBA,5546,20,276
UNAMUNCHO,6141,15,398
BAÑOS,16121,85,190
LLIGUA,343,9,39
RÍO NEGRO,1274,630,2
RÍO VERDE,1337,250,5
ULBA,2833,95,30
CEVALLOS,10433,19,556
MOCHA,5820,79,73
PINGUILÍ,1440,6,244
PATATE,8743,79,110
EL TRIUNFO,1360,140,10
LOS ANDES,1385,16,85
SUCRE,2391,56,42
QUERO,14431,94,153
RUMIPAMBA,3007,35,85
YANAYACU MOCHAPATA,1646,39,42
PELILEO,28073,58,487
BENÍTEZ,2626,5,508
BOLÍVAR,2925,11,271
COTALÓ,2186,45,49
CHIQUICHA,2844,16,178
EL ROSARIO,2675,12,230
GARCÍA MORENO,7836,16,500
GUAMBALÓ,8444,26,329
SALASACA,6288,13,503
PÍLLARO,16012,49,324
BAQUERIZO MORENO,239,27,9
EMILIO MARÍA TERÁN,1531,17,92
MARCOS ESPINEL,2266,126,18
PRESIDENTE URBINA,3265,13,260
SAN ANDRÉS,12231,53,230
SAN JOSÉ DE POALÓ,1807,163,11
SAN MIGUELITO,5146,22,233
TISALEO,12676,48,262
QUINCHICOTO,1234,11,109
ZAMORA,17950,395,45
CUMBARATZA,3617,150,24
GUADALUPE,3477,253,14
IMBANA,874,340,3
SABANILLA,621,308,2
TIMBARA,1705,306,6
SAN CARLOS DE LAS MINAS,1942,149,13
ZUMBA,7984,425,19
CHITO,1499,309,5
EL CHORRO,152,14,11
LA CHONTA,241,18,13
PUCAPAMBA,104,25,4
SAN ANDRÉS,357,312,1
GUAYZIMI,3158,117,27
ZURMI,1915,905,2
NUEVO PARAÍSO,801,921,1
NANKAIS,555,79,7
28 DE MAYO,2979,430,7
LA PAZ,2230,318,7
TUTUPALI,1182,505,2
YANTZAZA,16375,273,60
CHICAÑA,2863,265,11
LOS ENCUENTROS,4132,475,9
EL PANGUI,8336,155,54
EL GUISME,1621,94,17
PACHICUTZA,1724,128,13
TUNDAYME,1087,255,4
ZUMBI,5192,165,31
TRIUNFO DORADO,986,51,20
PANGUINTZA,1704,45,38
PALANDA,3999,442,9
EL PORVENIR DEL CARMEN,1558,529,3
SAN FRANCISCO DEL VERGEL,1603,247,6
VALLADOLID,1258,582,2
LA CANELA,455,243,2
PAQUISHA,2253,166,14
BELLAVISTA,440,58,8
NUEVO QUITO,2044,116,18
PUERTO BAQUERIZO MORENO,7290,3,248
EL PROGRESO,865,567,2
ISLA SANTA MARÍA FLOREANA,145,280,1
PUERTO VILLAMIL,2755,2,1755
TOMÁS DE BERLANGA,295,5526,0
PUERTO AYORA,12737,3,4407
BELLA VISTA,3933,1182,3
SANTA ROSA,563,670,1
NUEVA LOJA,65791,217,303
DURENO,3149,246,13
GENERAL FARFÁN,6681,527,13
EL ENO,6918,439,16
PACAYACU,8428,884,10
JAMBELÍ,3478,445,8
SANTA CECILIA,8669,239,36
10 DE AGOSTO,1930,155,12
LUMBAQUÍ,4178,247,17
EL REVENTADOR,1068,986,1
GONZALO PIZARRO,3545,243,15
PUERTO LIBRE,1565,769,2
PUERTO EL CARMEN DE PUTUMAYO,3090,1076,3
PALMA ROJA,1085,601,2
PUERTO BOLÍVAR,76,447,0
PUERTO RODRÍGUEZ,295,382,1
SANTA ELENA,1803,546,3
SANSAHUARI,2669,499,5
SHUSHUFINDI,30747,487,63
LIMONCOCHA,6857,542,13
PAÑACOCHA,746,609,1
SAN ROQUE,4483,672,7
SAN PEDRO DE LOS COFÁNES,3644,75,49
SIETE DE JULIO,4349,120,36
LA BONITA,935,129,7
EL PLAYÓN DE SAN FRANCISCO,1248,294,4
LA SOFÍA,122,649,0
ROSA FLORIDA,270,356,1
SANTA BÁRBARA,599,89,7
EL DORADO DE CASCALES,3801,713,5
SANTA ROSA DE SUCUMBÍOS,603,59,10
SEVILLA,3106,118,26
NUEVA TRONCAL,4234,372,11
TARAPOA,6739,1109,6
CUYABENO,435,2268,0
AGUAS NEGRAS,1678,489,3
EL COCA,59104,148,399
DAYUMA,7253,1238,6
TARACOA,3107,408,8
ALEJANDRO LABAKA,1559,982,2
EL DORADO,3279,136,24
EL EDÉN,1246,872,1
GARCÍA MORENO,1491,132,11
INÉS ARANGO,3661,1479,2
LA BELLEZA,5168,608,8
NUEVO PARAÍSO,3511,308,11
SAN JOSÉ DE GUAYUSA,3255,458,7
SAN LUIS DE ARMENIA,2496,313,8
NUEVO ROCAFUERTE,3662,1741,2
CAPITÁN AUGUSTO RIVADENEYRA,1142,921,1
CONONACO,708,7124,0
SANTA MARÍA DE HUIRIRIMA,938,658,1
YASUNÍ,422,849,0
LA JOYA DE LOS SACHAS,25989,191,136
ENOKANQUI,3232,76,42
POMPEYA,1661,98,17
SAN CARLOS,4243,134,32
SAN SEBASTIÁN DEL COCA,5280,282,19
LAGO SAN PEDRO,2287,77,30
RUMIPAMBA,2144,73,29
TRES DE NOVIEMBRE,3945,125,32
UNIÓN MILAGREÑA,3663,146,25
LORETO,7677,95,81
ÁVILA,5863,331,18
PUERTO MURIALDO,3934,190,21
SAN JOSÉ DE PAYAMINO,3576,841,4
SAN JOSÉ DE DAHUANO,5461,502,11
SAN VICENTE DE HUATICOCHA,1209,192,6
SANTO DOMINGO DE LOS COLORADOS,373321,1073,348
ALLURIQUÍN,8607,678,13
PUERTO LIMÓN,11630,244,48
LUZ DE AMÉRICA,11504,311,37
SAN JACINTO DEL BÚA,13624,204,67
VALLE HERMOSO,9865,310,32
EL ESFUERZO,5973,283,21
SANTA MARÍA DEL TOACHI,7059,352,20
LA CONCORDIA,37178,81,459
MONTERREY,7386,102,72
LA VILLEGAS,4529,59,77
PLAN PILOTO,2293,83,28
SANTA ELENA,72598,537,135
ATAHUALPA,4004,77,52
COLONCHE,40058,1147,35
CHANDUY,20558,771,27
MANGLARALTO,37167,425,88
SIMÓN BOLÍVAR,4384,572,8
SAN JOSÉ DE ANCÓN,7918,66,120
LA LIBERTAD,112247,25,444
SALINAS,35081,17,2049
ANCONCITO,15052,15,1005
JOSÉ LUIS TAMAYO,36668,36,1027
