nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
ZUMBAHUA,6948,209,33
SAN MIGUEL,39101,194,202
ANTONIO JOSÉ HOLGUÍN,3431,7,472
CUSUBAMBA,5949,162,37
MULALILLO,7254,41,176
MULLIQUINDIL,7632,48,159
PANSALEO,4126,16,251
SAQUISILÍ,16163,41,391
CANCHAGUA,3510,25,138
CHANTILÍN,2129,5,452
COCHAPAMBA,2554,85,30
SIGCHOS,7560,776,10
CHUGCHILLÁN,6075,249,24
ISINLIVI,1945,85,23
LAS PAMPAS,1850,132,14
PALO QUEMADO,1030,116,9
RIOBAMBA,188891,62,3049
CACHA,2362,29,83
CALPI,6223,52,120
CUBIJÍES,3264,13,252
FLORES,2733,45,61
LICÁN,11726,21,558
LICTO,6778,60,113
PUNGALÁ,3925,279,14
PUNÍN,4682,52,91
QUIMIAG,4479,136,33
SAN JUAN,6309,221,29
SAN LUIS,19510,30,653
ALAUSÍ,10303,53,194
ACHUPALLAS,8117,581,14
GUASUNTOS,1820,47,39
HUIGRA,1748,130,13
MULTITUD,1867,103,18
PISTISHI,257,11,23
PUMALLACTA,588,21,28
SEVILLA,630,21,30
SIBAMBE,3412,142,24
TIXÁN,8533,181,47
VILLA LA UNIÓN,14392,220,65
CAÑI,711,110,6
COLUMBE,9132,167,55
JUAN DE VELASCO,3045,266,11
SANTIAGO DE QUITO,3188,56,57
CHAMBO,13431,166,81
CHUNCHI,6828,127,54
CAPZOL,684,25,27
COMPUD,724,29,25
GONZOL,1083,25,43
LLAGOS,1316,67,20
GUAMOTE,19382,386,50
CEBADAS,6414,567,11
PALMIRA,9973,242,41
GUANO,22764,94,243
GUANANDO,224,15,15
ILAPO,1156,33,35
LA PROVIDENCIA,659,10,65
SAN ANDRÉS,13154,164,80
SAN GERARDO,3281,7,461
SAN ISIDRO DE PATULÚ,4472,77,58
SAN JOSÉ DEL CHAZO,872,15,60
SANTA FÉ DE GALÁN,1471,29,50
VALPARAISO,274,21,13
PALLATANGA,11796,380,31
PENIPE,2400,32,76
EL ALTAR,1294,74,17
